source,target,type,distance,speed,delay,price_rate
joao_pessoa,caico,road,321,100,1,0.3
sao_paulo,ribeirao_preto,road,314,100,1,0.3
santarem,itaituba,road,368,100,1,0.3
belo_horizonte,vitoria,train,664,50,1,0.09
macapa,belem,water,339,12,1,0.7
manaus,coari,water,370,52,1,0.7
manaus,santarem,water,740,24,1,0.7
coari,tefe,water,212,70,1,0.7
tefe,tabatinga,water,942,27,1,0.7
itaituba,santarem,water,273,39,1,0.7
natal,fernando_de_noronha,water,374,12,1,0.7
